condition_id,question,description,end_date
0x5ab99b5c84e83438d0919125c4bb9fa883fb5238388b2803aa998f434a073dec,Will Henry Cucalón win the 2025 Ecuadorian Presidential Election?,"Presidential elections are scheduled to be held in Ecuador on 9 February 2025. If necessary, a second round will be held on 13 April 2025.

This market will resolve to ""Yes"" if Henry Cucalón wins this election. Otherwise, this market will resolve to ""No"".

This market includes any potential second round. If the result of this election isn't known by July 31, 2025, 11:59 PM ET, the market will resolve to ""No"".

This market will resolve solely based off the first official announcement of the winner from the Ecuadorian Government, specifically the National Electoral Council (https://www.cne.gob.ec/). 
",2025-04-13T00:00:00Z
0x3c150fa0ef3cf13a2d316620a70d205de6f97d4248cd4a98dcd899b7155cda74,Will Mircea Geoană win the most votes in the 1st round of the Romanian presidential election?,"Romania has a two-round system for presidential elections, where a runoff between the top two candidates is held if no candidate secures an absolute majority in the first round.

The first round of the Romanian presidential election, originally held on November 24, 2024, was annulled by the Constitutional Court. A new timeline for the elections has not yet been announced, but it is expected that the electoral process will restart in early 2025.

This market will resolve to ""Yes"" if Mircea Geoanăi receives the greatest number of votes in the first round of voting. Otherwise, this market will resolve to ""No"".

If the results of the first round of the Romanian presidential election are not known by July 31, 2025, 11:59 PM ET, this market will resolve to ""No.""

This market will resolve based on the official results of the election, as reported by a consensus of credible reporting. If there is ambiguity, this market resolves based on the election results from the Romanian Government, specifically the Permanent Electoral Authority (https://www.roaep.ro/prezentare/).",2025-07-31T00:00:00Z
0x12d7301c569d569d9a465d6edb5613d1f984019d8abb1d194312668687044500,Will Trump acquire Greenland before July?,"This market will resolve to ""Yes"" if the United States officially announces that Greenland will come under US sovereignty by June 30, 2025, 11:59 PM ET. Otherwise this market will resolve to ""No"".

Sovereignty is defined as the transfer of the majority of the territory of Greenland from its current status as an autonomous territory within the Kingdom of Denmark to being under the formal governance or jurisdiction of the United States, either as a state, territory, or other classification within the US system.

An official announcement made by the United States and Denmark that Greenland will come under US sovereignty will qualify, even if the actual transfer of sovereignty is yet to occur. Only announcements of official agreements or actions (e.g. executive order, signed legislation, etc.) will count - mere posts on Social Media will not.

The resolution source for this market will be official information from the governments of the US, Greenland, and Denmark , however a consensus of credible reporting confirming that Greenland has come under U.S. sovereignty will also qualify.",2025-06-30T00:00:00Z
0x1a6fb6eb98592f410f8733c424eeb3f1baa7353ba631fd731572649c88184e6d,Mike Huckabee confirmed as ambassador to Israel?,"This market will resolve to “Yes” if Mike Huckabee is confirmed as the U.S. ambassador to Israel by June 30, 2025, 11:59 PM ET. Otherwise, this market will resolve to “No”.

If Huckabee's nomination is formally withdrawn, or if the Senate rejects his nomination this market will immediately resolve to “No”.

The Senate must confirm this nominee for this market to resolve to ""Yes"". Recess appointments without Senate confirmation will not count toward a ""Yes"" resolution.

The resolution source for this market is information from the U.S. Senate (see: https://www.senate.gov/legislative/NominationsRejectedorWithdrawn.htm), however a consensus of credible reporting may also be used.",2025-06-30T00:00:00Z
0xbf870d329924638db4f0d6ed2ce80e2d6b3432b51f7da7c801b45febe186b405,Will the GOP use 'Nuclear Option' to break filibuster?,"This market will resolve to ""Yes"" if the US. Senate passes a motion to invoke cloture and end debate on any part of the legislative process, with such cloture motion receiving Yea votes from fewer than three-fifths of the Senators by June 30, 2025, 11:59 PM. Otherwise, this market will resolve ""No"".

The resolution source for this market will be official information from the U.S. government.",2025-06-30T00:00:00Z
0xb0001fc97aa9b65190d6fec2ac6accb0dedcf823b5848b321560ca14c159893b,Canada election called before April?,"The 45th Canadian federal election is scheduled to take place on October 20, 2025, however federal elections have been called early numerous times in Canada's history, most recently in 2021.

This market will resolve to ""Yes"" if the next Canadian federal election is officially scheduled for a date prior to October 20, 2025, by March 31, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

For this market to resolve to ""Yes"" it is only necessary that the election date be declared, not that the election actually occur within the market timeframe. (e.g. if on December 23, 2024 an election is scheduled for April 23, 2025, this market will resolve to ""Yes"").

The primary resolution source for this market will be official information from the government of the Canada, However a consensus of credible reporting will also be used.",2025-03-31T00:00:00Z
0x618620c8156fae308a73ab3477ab2e66796b2be41077c3025f77f7eea34e7b96,Will Marcel Ciolacu advance to the Romanian Presidential Election Runoff?,"Romania has a two-round system for presidential elections, where a runoff between the top two candidates is held if no candidate secures an absolute majority in the first round.

The first round of the Romanian presidential election, originally held on November 24, 2024, was annulled by the Constitutional Court. A new timeline for the elections has not yet been announced, but it is expected that the electoral process will restart in early 2025.

This market will resolve to ""Yes"" if Marcel Ciolacu either advances to the Romanian presidential runoff election, or wins the Presidency in the first round. Otherwise, this market will resolve to ""No"".

If the results of the first round of the Romanian presidential election are not known by June 30, 2025, 11:59 PM ET, this market will resolve to ""No.""

This market will resolve based on the official results of the election, as reported by a consensus of credible reporting. If there is ambiguity, this market resolves based on the election results from the Romanian Government, specifically the Permanent Electoral Authority (https://www.roaep.ro/prezentare/).",2025-07-31T00:00:00Z
0xa638577415195ac2ca0e8ab8befd45e3991612be6d2cf64e661abc6350c7900a,Yoon out as president of South Korea before April?,"This market will resolve to “Yes” if Yoon Suk Yeol ceases to be the President of South Korea for any period of time between December 3, 2024 and March 31, 2025, 11:59 PM ET. Otherwise, this market will resolve to “No”.

If Yoon Suk Yeol is impeached by the National Assembly, however the Constitutional Court does not uphold the impeachment by this market's end date, it will not count toward a ""Yes"" resolution.

For this market to resolve to ""Yes"" Yoon Suk Yeol must have actually ceased to be President of South Korea before this market's end date; an announcement that Yoon will resign at a later time will not count.

The resolution source for this market will be a consensus of credible reporting.",2025-03-31T00:00:00Z
0x27619d612e16ba61fd0c60000d6e1e17947f539bbd5fff7d08a1e0ecb3776462,Will Trump impose large tariffs in his first 6 months?,"This market will resolve to ""Yes"" if the U.S. weighted average tariff, as defined and reported by the Federal Reserve Bank of St. Louis, reaches 5% or greater for either Q1 or Q2 of 2025. Otherwise, this market will resolve to ""No"". 

This market will resolve once the dataset has been updated to reflect data from the U.S. Bureau of Economic Analysis (BEA) Advance Estimate GDP report for Q2, currently scheduled to be released on July 30, 2025. If no Advance Estimate GDP report for Q2 2025 is released by August 31, 2025, 11:59 PM ET, this market will resolve to ""No"". 

The resolution source will be the Federal Reserve Bank of St. Louis, specifically the the average tariff paid as defined here: https://fred.stlouisfed.org/graph/?g=1wn5e. Revisions to the data made after the resolution will not be considered.",2025-08-31T00:00:00Z
0xd009ac14bccdd12925a2d9f8d910411556e4ed153337abb18a97b97fabcf7db0,Will Rafał Trzaskowski be the next President of Poland?,"Presidential elections will be held in Poland in May, 2025. If no candidate receives a majority in the first round, a second round will be held.

This market will resolve to ""Yes"" if Rafał Trzaskowski wins this election. Otherwise, this market will resolve to ""No"".

This market includes any potential second round. If the result of this election isn't known by July 31, 2025, 11:59 PM ET, the market will resolve to ""No"".

This market will resolve solely based off the first official announcement of the winner of the election from the Polish government, specifically the National Electoral Commission (Państwowa Komisja Wyborcza, PKW) (https://www.pkw.gov.pl/).
",2025-05-18T00:00:00Z
0xe3ece9fd2b3ec7bc3c1c0e2ba034f42ccbe20fe65b920ff8441c1c6714031528,Trump Admin recommends removing fluoride from water?,"This market will resolve to ""Yes"" if,  the U.S. Public Health Service officially withdraws or ends its recommendation for adding fluoride to U.S. drinking water, or if the recommended fluoride level is changed to 0.0 mg/L between January 20, and April 29, 2025 11:59 PM ET (see: https://www.cdc.gov/fluoridation/about/community-water-fluoridation-recommendations.html). 

If responsibility for directives on fluoride is transferred from the U.S. Public Health Service to another federal agency, any qualifying announcement from that new agency will qualify.

The resolution source will be official information from the U.S. Government.",2025-04-29T00:00:00Z
0xb4c5c1570d0c8870c9c0040dc3d7640f19765bc5e77af2dcf30736925ef2f9e5,Will The Left make it into the Bundestag as a Fraktion?,"German Federal elections to elect the 21st Bundestag are scheduled to tale place February 23, 2025.

This market will resolve to ""Yes"" if The Left (Die Linke) makes it into the Bundestag as a parliamentary group (Fraktion) as a result of the 2025 German Parliamentary election. Otherwise, this market will resolve to ""No"".

If voting in the next German parliamentary election does not occur by June 30, 2025, this market will resolve to ""No"".

Under current German parliamentary law, “a parliamentary group [fraktion] can be formed by at least five percent of the members of the Bundestag who belong to the same party” (see: https://www.bundestag.de/services/glossar/glossar/F/fraktionen-444784).

This market will resolve based on the result of the election as indicated by a consensus of credible reporting. If there is ambiguity, this market will resolve based solely on the official results as reported by the German government, specifically the Federal Returning Officer (Bundeswahlleiter) (https://www.bundeswahlleiterin.de/en/).
",2025-02-23T00:00:00Z
0x5ce0d897bd66142c43a38204a67ad85bc3e0643382258411a5aa58ca3e825082,Will Karol Nawrocki be the next President of Poland?,"Presidential elections will be held in Poland in May, 2025. If no candidate receives a majority in the first round, a second round will be held.

This market will resolve to ""Yes"" if Karol Nawrocki wins this election. Otherwise, this market will resolve to ""No"".

This market includes any potential second round. If the result of this election isn't known by July 31, 2025, 11:59 PM ET, the market will resolve to ""No"".

This market will resolve solely based off the first official announcement of the winner of the election from the Polish government, specifically the National Electoral Commission (Państwowa Komisja Wyborcza, PKW) (https://www.pkw.gov.pl/).
",2025-05-18T00:00:00Z
0x821559ab04c6724df1d8bee44f468a6f24c72251c34a4de888cee8c09352eebe,Will Trump pardon Matt Gaetz in his first 100 days?,"This market will resolve to ""Yes"" if  Matt Gaetz receives a presidential pardon, commutation, or reprieve from Donald Trump by April 29, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

If it becomes impossible for Trump issue a federal pardon, commutation, or reprieve within this market's timeframe, it may immediately resolve to ""No"".

The primary resolution source for whether  Matt Gaetz is pardoned or not will be official information from the US government, however a consensus of credible reporting will also be used.
",2025-04-29T00:00:00Z
0xcda43b8984c7569551729a71eb35d204988dbd1f3a09641db33c2ef529968f72,Will the CDU/CSU be part of the next German government?,"This market will resolve to ""Yes"" if Union (Unionsparteien) or CDU/CSU (CDU/CSU-Fraktion im Deutschen Bundestag)  is a part of the first federal government formed after the 2025 German Parliamentary election scheduled to take place February 23. Otherwise, this market will resolve to ""No"". 

If no government is formed by June 30, 2025, 11:59 PM ET, this market will resolve to ""No"".

The primary resolution source for this market will be the official announcements from the governing coalition, however a consensus of credible reporting may also be used. 
",2025-06-30T00:00:00Z
0x0cb707da67522398deb25aa811bdb46092b4e446187fa0896e51e037ab8040e2,Will Trump pardon Hunter Biden in his first 100 days?,"This market will resolve to ""Yes"" if Hunter Biden receives a presidential pardon, commutation, or reprieve from Donald Trump by April 29, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

If it becomes impossible for Trump issue a federal pardon, commutation, or reprieve within this market's timeframe, it may immediately resolve to ""No"".

The primary resolution source for whether Hunter Biden is pardoned or not will be official information from the US government, however a consensus of credible reporting will also be used.
",2025-04-29T00:00:00Z
0x04303515e58b871fc6b95e31c58bf7c74aa8c8e4eb4c1378d135086cf265c8f2,Will ICC withdraw its arrest warrant against Netanyahu before July?,"This market will resolve to ""Yes"" if the International Criminal Court (ICC) officially announces the withdrawal of its arrest warrant against Benjamin Netanyahu by June 30, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

The primary resolution source for this market will be official information from the ICC, however a consensus of credible reporting will also be used.

",2025-06-30T00:00:00Z
0x79e6ec2dff92558eb36b5e2e2221bf4be45364f3726897163d80702abb51d315,Trump signs national abortion ban?,"This market will resolve to ""Yes"" if Donald Trump signs a bill into law or performs any executive action that explicitly restricts individuals' access to abortion in the United States by April 29, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

Bills which impose limitations or expand existing restrictions on when, where, or under what conditions abortions can be performed, including measures that reduce the gestational age limit for legal abortions, increase mandatory waiting periods, or limit the circumstances under which exceptions are allowed will qualify.

Legislation or executive actions which add regulatory hurdles for providers, such as increased licensing requirements, facility standards, or reporting obligations will not qualify.

Any bill signed into law or executive actions within the market's time frame will qualify, regardless of when the law goes into effect.

If it becomes impossible for Trump to sign legislation or perform executive actions (e.g., he resigns or leaves office), this market will resolve to ""No"".

This market's resolution source will be official information from the Trump administration, with a consensus of credible reporting used as needed.",2025-04-29T00:00:00Z
0xc84ac0cca6352c640525e455600e3d7798bbf5b2259444b78910c99e1dcb7c33,Will Gustavo Jalkh win the 2025 Ecuadorian Presidential Election?,"Presidential elections are scheduled to be held in Ecuador on 9 February 2025. If necessary, a second round will be held on 13 April 2025.

This market will resolve to ""Yes"" if Gustavo Jalkh wins this election. Otherwise, this market will resolve to ""No"".

This market includes any potential second round. If the result of this election isn't known by July 31, 2025, 11:59 PM ET, the market will resolve to ""No"".

This market will resolve solely based off the first official announcement of the winner from the Ecuadorian Government, specifically the National Electoral Council (https://www.cne.gob.ec/). 
",2025-04-13T00:00:00Z
0xc7ec0c2fc4ada9e3e0703b20ff9f610abae734e65d90f32378e26c4c9f826713,Will Trump pardon Edward Snowden in his first 100 days?,"This market will resolve to ""Yes"" if Edward Snowden receives a presidential pardon, commutation, or reprieve from Donald Trump by April 29, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

If it becomes impossible for Trump issue a federal pardon, commutation, or reprieve within this market's timeframe, it may immediately resolve to ""No"".

The primary resolution source for whether Edward Snowden is pardoned or not will be official information from the US government, however a consensus of credible reporting will also be used.
",2025-04-29T00:00:00Z
0x2d930f65e1aff6d34f7b4d1b0073ee0ecc35a88b6277fa51f6bde34b41c45626,Will Trump end Department of Education in first 100 days?,"This market will resolve to ""Yes"" if the US Department of Education ceases operations entirely, including the termination of all federal educational programs managed by the department, by April 29, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

If the US Department of Education is merged with another agency, resulting in a consolidated department with a shared administrative structure which is no longer titled the Department of Education it will count as a ""Yes"" resolution. 

If it becomes impossible for Trump to sign legislation/perform executive actions (e.g. he resigns), this market will resolve to ""No"".

The primary resolution source for this market will be official information from the US government, however a consensus of credible reporting will also be used.",2025-04-29T00:00:00Z
0x8702261edac5d25be23c11c9d81fa3a08a95959a19197439dcbd616dfff0a371,Will Marcel Ciolacu  win the most votes in the 1st round of the Romanian presidential election?,"Romania has a two-round system for presidential elections, where a runoff between the top two candidates is held if no candidate secures an absolute majority in the first round.

The first round of the Romanian presidential election, originally held on November 24, 2024, was annulled by the Constitutional Court. A new timeline for the elections has not yet been announced, but it is expected that the electoral process will restart in early 2025.

This market will resolve to ""Yes"" if Marcel Ciolacu receives the greatest number of votes in the first round of voting. Otherwise, this market will resolve to ""No"".

If the results of the first round of the Romanian presidential election are not known by July 31, 2025, 11:59 PM ET, this market will resolve to ""No.""

This market will resolve based on the official results of the election, as reported by a consensus of credible reporting. If there is ambiguity, this market resolves based on the election results from the Romanian Government, specifically the Permanent Electoral Authority (https://www.roaep.ro/prezentare/).",2025-07-31T00:00:00Z
0x7c753b012d53e4a70167ad6a41e0b909f269874c0297c6d383b1f1f3be505b51,Will Trump pardon Eric Adams in his first 100 days?,"This market will resolve to ""Yes"" if Eric Adams receives a presidential pardon, commutation, or reprieve from Donald Trump by April 29, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

If it becomes impossible for Trump issue a federal pardon, commutation, or reprieve within this market's timeframe, it may immediately resolve to ""No"".

The primary resolution source for whether Eric Adams is pardoned or not will be official information from the US government, however a consensus of credible reporting will also be used.
",2025-04-29T00:00:00Z
0xfc7fae1933fbb4a701d47b0edaeedb1e2f5a7c9c4d1e06fe6b24b37c4af194ad,States call a Constitutional Convention before July?,"This market will resolve to ""Yes"" if 2/3 of state legislatures pass resolutions calling for an Article V constitutional convention by June 30, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

This market will resolve based on information from the State and Federal governments of the United States of America, however a consensus of credible reporting will also be used.",2025-06-30T00:00:00Z
0x6edda3512ecf43002ea175e0af667868979a83994111a6103d845b4df5f88ba6,Will Heidi Reichinnek be the next Chancellor of Germany?,"German Federal elections to elect the 21st Bundestag are scheduled to take place February 23, 2025.

This market will resolve to ""Yes"" if Heidi Reichinnek is the next Chancellor of Germany following the election. Otherwise, this market will resolve to ""No.""

Any interim/caretaker Chancellor will not count toward the resolution of this market. If no next Chancellor of Germany is announced by June 30, of 2025, 11:59 PM ET this market will resolve to ""No.""

The primary resolution source for this market will be official information from the Government of Germany, however a consensus of credible reporting will also be used.",2025-02-23T00:00:00Z
0x1b2b69401b202d313f8909800ca7e5b1c631de6782d0b74e7cc827e1873abfb0,Khamenei out as Supreme Leader of Iran by June 30?,"This market will resolve to ""Yes"" if Ali Khamenei ceases to be Supreme Leader of Iran of for any length of time between December 2, 2024, and June 30, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

If Khamenei ceases to be Supreme Leader of Iran for any length of time within this market's timeframe, this market will immediately resolve to ""Yes"". This market will not resolve to ""No"" until its timeframe expires and Khamenei has remained Supreme Leader for the entire duration without interruption.

The primary resolution source for this market will be official information released by the government of Iran, however, a consensus of credible reporting may be used.",2025-06-30T00:00:00Z
0x51110ae62047b920af6e69c02d916564e6930a5a3b20753d3d1532087ad7b958,Will Christian Lindner be the next Chancellor of Germany?,"German Federal elections to elect the 21st Bundestag are scheduled to take place February 23, 2025.

This market will resolve to ""Yes"" if Christian Lindner is the next Chancellor of Germany following the election. Otherwise, this market will resolve to ""No.""

Any interim/caretaker Chancellor will not count toward the resolution of this market. If no next Chancellor of Germany is announced by June 30, of 2025, 11:59 PM ET this market will resolve to ""No.""

The primary resolution source for this market will be official information from the Government of Germany, however a consensus of credible reporting will also be used.",2025-02-23T00:00:00Z
0xe1aaecf13ff5e25332f4b5bf9a6109724722d54c1e43462ad3cc962d373b27e4,Will Robert Habeck be the next Chancellor of Germany?,"German Federal elections to elect the 21st Bundestag are scheduled to take place February 23, 2025.

This market will resolve to ""Yes"" if Robert Habeck is the next Chancellor of Germany following the election. Otherwise, this market will resolve to ""No.""

Any interim/caretaker Chancellor will not count toward the resolution of this market. If no next Chancellor of Germany is announced by June 30, of 2025, 11:59 PM ET this market will resolve to ""No.""

The primary resolution source for this market will be official information from the Government of Germany, however a consensus of credible reporting will also be used.",2025-02-23T00:00:00Z
0xd6c186dd4a5167684c27462d0bb541bd22ca4861298c00ade1991c6240364762,Will Trump create Bitcoin reserve in first 100 days?,"This market will resolve to ""Yes"" if the US government holds any amount of Bitcoin in its reserves at any point between January 20, 2025, ET and  April 29, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

Note that the US government confiscating Bitcoin does not count as holding Bitcoin reserves.

The primary resolution source for this market will be official information from the US government and/or the US federal reserve, however a consensus of credible reporting will also be used.",2025-04-29T00:00:00Z
0x75ce364b7af68f9bafdeef0c10344b5f0fca5403e1c98614b5fdf5e3d7d03e90,Trump takes Panama Canal in first 100 days?,"This market will resolve to ""Yes"" if the Panama Canal comes under US control by April 29, 2025, 11:59 PM ET. Otherwise this market will resolve to ""No"".

For the purposes of this market, US control means the United States assumes primary operational authority over the canal, either via diplomatic agreement, military action, or any other means.

An official announcement made by the United States and Panama that the Panama Canal will come under US control will qualify, even if the actual transfer of control is yet to occur. Only announcements of official agreements or actions (e.g. executive order, signed legislation, etc.) will count - mere posts on Social Media will not.

The resolution source for this market will be official information from the US Government and the Government of Panama, however a consensus of credible reporting confirming that the Panama Canal has come under US sovereignty will also qualify.",2025-04-29T00:00:00Z
0xa07f15fdd0baa90adf78bd4d66543083334a7e5235a95fa5f241c4e519ea83f6,Will US leave NATO by June 30?,"This market will resolve to ""Yes"" if the United States formally withdraws from NATO or provides an official notice of denunciation to NATO by June 30, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

A notice of denunciation refers to the submission of a notice of withdrawal as per Article 13 of the North Atlantic Treaty.

The US's exit from NATO’s integrated military command structure will not be sufficient to resolve this market to ""Yes"". The US must either withdraw or submit a notice of denunciation to trigger a ""Yes"" resolution.

The resolution source will be official information from the US government and NATO, however a consensus of credible reporting may also be used.",2025-06-30T00:00:00Z
0x4b1470a1d83fe0e9e5e7edfd68ca0517fdd1386e412d2203d27a5c2832ed60c1,Will Putin remain President of Russia through June?,"This market will resolve to “Yes” if Vladimir Putin remains the President of Russia without interruption from December 20, 2024 through June 30, 2025, 11:59 PM ET. Otherwise, this market will resolve to “No”.

The primary resolution source for this market will be the CIA World Factbook page for Russia, currently available at https://www.cia.gov/the-world-factbook/countries/russia/#government. However, a consensus of credible reporting will also suffice.",2025-06-30T00:00:00Z
