title,url,matching_questions,similarity,yes_price,change_1d,change_3d,change_5d
GOP lawmaker says the Trump admin. committing 'terrible mistake' in Russia-Ukraine negotiations,https://www.youtube.com/watch?v=ucU7DkreuZE,Will Trump cut Ukraine off from Starlink?,0.4478247165679931,0.015,1,-1,-1
"Trump won't rule out recession, warns of period of transition'",https://www.youtube.com/watch?v=bA3cVMD7ZMw,25% aluminum tariff in effect before May?,0.4243225455284118,0.9595,-1,1,1
"Trump won't rule out recession, warns of period of transition'",https://www.youtube.com/watch?v=bA3cVMD7ZMw,25% steel tariff in effect before May?,0.400732547044754,0.963,-1,-1,-1
Bolton has theory on why Trump threatened Russia with sanctions,https://www.youtube.com/watch?v=-Smj-BPxhEI,Will Trump cut Ukraine off from Starlink?,0.4632504880428314,0.054,1,-1,-1
"Trump threatens new tariffs on Canada, including 250% tax on dairy",https://www.youtube.com/watch?v=4ePhjGHP6l8,25% aluminum tariff in effect before May?,0.4158728122711181,0.958,1,1,1
"Trump threatens new tariffs on Canada, including 250% tax on dairy",https://www.youtube.com/watch?v=4ePhjGHP6l8,25% steel tariff in effect before May?,0.4123379290103912,0.9525,1,1,1
Trump threatens new 'large scale' sanctions on Russia for 'pounding' Ukraine,https://www.youtube.com/watch?v=0c7i7SRthrA,Will Trump cut Ukraine off from Starlink?,0.5291571021080017,0.0855,-1,-1,-1
Hear what Trudeau said about his phone call with Trump,https://www.youtube.com/watch?v=jrxC7srY73Y,25% steel tariff in effect before May?,0.4314314126968384,0.9525,1,1,1
Hear what Trudeau said about his phone call with Trump,https://www.youtube.com/watch?v=jrxC7srY73Y,25% aluminum tariff in effect before May?,0.4246710836887359,0.958,1,1,1
"Abby Phillip presses Republicans Scott Jennings, Chris Sununu on Trump tariff strategy",https://www.youtube.com/watch?v=LNFBtnCofLE,25% steel tariff in effect before May?,0.4174579977989197,0.9525,1,1,1
"Abby Phillip presses Republicans Scott Jennings, Chris Sununu on Trump tariff strategy",https://www.youtube.com/watch?v=LNFBtnCofLE,25% aluminum tariff in effect before May?,0.4098547101020813,0.958,1,1,1
'My jaw is dropped': Canadian official's interview stuns Amanpour,https://www.youtube.com/watch?v=z3rIlAITjXk,Will Trump lower automobile tariffs on Canada/Mexico by next Friday?,0.4506369233131408,0.9605,1,1,1
Trump delays tariffs on Mexico until April,https://www.youtube.com/watch?v=GmRsuVTMqOw,Will Trump lower automobile tariffs on Canada/Mexico by next Friday?,0.7267962098121643,0.9605,1,1,1
Trump delays tariffs on Mexico until April,https://www.youtube.com/watch?v=GmRsuVTMqOw,25% aluminum tariff in effect before May?,0.4967926740646362,0.957,1,1,1
Trump delays tariffs on Mexico until April,https://www.youtube.com/watch?v=GmRsuVTMqOw,25% steel tariff in effect before May?,0.4716975390911102,0.932,1,1,1
Trump delays tariffs on Mexico until April,https://www.youtube.com/watch?v=GmRsuVTMqOw,Will Trump pass a border/immigration law in first 100 days?,0.4267610311508178,0.275,1,1,1
What a mess President Trump has created': Canadian official on tariffs,https://www.youtube.com/watch?v=MA7P-clemb8,Will Trump lower automobile tariffs on Canada/Mexico by next Friday?,0.7576974630355835,0.9605,1,1,1
What a mess President Trump has created': Canadian official on tariffs,https://www.youtube.com/watch?v=MA7P-clemb8,25% aluminum tariff in effect before May?,0.5279790759086609,0.957,1,1,1
What a mess President Trump has created': Canadian official on tariffs,https://www.youtube.com/watch?v=MA7P-clemb8,25% steel tariff in effect before May?,0.5078215599060059,0.932,1,1,1
What a mess President Trump has created': Canadian official on tariffs,https://www.youtube.com/watch?v=MA7P-clemb8,Will Trump pass a border/immigration law in first 100 days?,0.4094922542572021,0.275,1,1,1
See moment Democrats sing and defy Johnson on House floor,https://www.youtube.com/watch?v=IpgJ0CnONec,Will Trump invite the Philadelphia Eagles to the White House?,0.4475161433219909,0.879,-1,-1,-1
See moment Democrats sing and defy Johnson on House floor,https://www.youtube.com/watch?v=IpgJ0CnONec,Will Trump issue an executive order on March 8?,0.4451047778129577,0.25,-1,-1,-1
See moment Democrats sing and defy Johnson on House floor,https://www.youtube.com/watch?v=IpgJ0CnONec,Will Trump issue an executive order on March 9?,0.4426877498626709,0.44,-1,-1,-1
See moment Democrats sing and defy Johnson on House floor,https://www.youtube.com/watch?v=IpgJ0CnONec,Will Donald Trump sign 5-9 executive orders in March?,0.4378173053264618,0.006,0,-1,-1
See moment Democrats sing and defy Johnson on House floor,https://www.youtube.com/watch?v=IpgJ0CnONec,Trump negative approval by Friday?,0.437133640050888,0.898,1,1,1
See moment Democrats sing and defy Johnson on House floor,https://www.youtube.com/watch?v=IpgJ0CnONec,Will Trump issue an executive order on March 7?,0.4347531795501709,0.535,1,1,1
See moment Democrats sing and defy Johnson on House floor,https://www.youtube.com/watch?v=IpgJ0CnONec,Will Trump issue an executive order on March 5?,0.4316405951976776,0.465,-1,-1,-1
See moment Democrats sing and defy Johnson on House floor,https://www.youtube.com/watch?v=IpgJ0CnONec,Will Trump's 538 approval rating be between 48.0% and 48.4% on March 7?,0.4024825692176819,0.054,-1,-1,-1
See moment Democrats sing and defy Johnson on House floor,https://www.youtube.com/watch?v=IpgJ0CnONec,Will Trump's 538 approval rating be between 46.5% and 46.9% on March 7?,0.400745540857315,0.06,-1,-1,-1
'We're going to get decapitalized really quick': Distributor voices concerns over Trump's tariffs,https://www.youtube.com/watch?v=XhZhikdWo9U,Will Trump lower automobile tariffs on Canada/Mexico by next Friday?,0.6605033874511719,0.9605,1,1,1
'We're going to get decapitalized really quick': Distributor voices concerns over Trump's tariffs,https://www.youtube.com/watch?v=XhZhikdWo9U,25% aluminum tariff in effect before May?,0.4788455367088318,0.957,1,1,1
'We're going to get decapitalized really quick': Distributor voices concerns over Trump's tariffs,https://www.youtube.com/watch?v=XhZhikdWo9U,25% steel tariff in effect before May?,0.4387178421020508,0.932,1,1,1
Farmer calls out Trump's 'wild' tariff announcements,https://www.youtube.com/watch?v=EEhG2Kd4OCA,Trump announces cutting all military aid to Ukraine aid before April?,0.4178191423416137,0.998,1,1,1
Frank Luntz explains why he's angry with Democrats after Trump's address,https://www.youtube.com/watch?v=BUhRIpVbLeY,Price of eggs goes up in Trump's first month?,0.4578524231910705,0.985,-1,1,-1
Auto dealership owner says tariffs will make some cars unsellable',https://www.youtube.com/watch?v=QuAxuOVZRGc,25% aluminum tariff in effect before May?,0.4351058900356293,0.967,-1,-1,-1
Auto dealership owner says tariffs will make some cars unsellable',https://www.youtube.com/watch?v=QuAxuOVZRGc,25% steel tariff in effect before May?,0.4216583371162414,0.9605,-1,1,1
We're shooting ourselves in the foot': Fareed Zakaria on Trump's tariffs,https://www.youtube.com/watch?v=PL7U6Z69buw,25% aluminum tariff in effect before May?,0.4180049896240234,0.967,-1,-1,-1
"Schumer reacts to Democrats holding signs, walking out of Trump address",https://www.youtube.com/watch?v=OZZu41_zXcw,Official Trump above $12.50 on March 7?,0.476563036441803,0.455,1,1,1
"Schumer reacts to Democrats holding signs, walking out of Trump address",https://www.youtube.com/watch?v=OZZu41_zXcw,Price of eggs goes up in Trump's first month?,0.436372697353363,0.985,-1,1,-1
"Schumer reacts to Democrats holding signs, walking out of Trump address",https://www.youtube.com/watch?v=OZZu41_zXcw,Will Trump's 2025 joint address get >46m viewers?,0.415181815624237,0.066,1,1,1
"Schumer reacts to Democrats holding signs, walking out of Trump address",https://www.youtube.com/watch?v=OZZu41_zXcw,Will Trump's 2025 joint address get 38-42m viewers?,0.4019416272640228,0.0385,-1,-1,-1
"Schumer reacts to Democrats holding signs, walking out of Trump address",https://www.youtube.com/watch?v=OZZu41_zXcw,Will Trump's 2025 joint address get 42-46m viewers?,0.4017850160598755,0.019,1,1,1
"Schumer reacts to Democrats holding signs, walking out of Trump address",https://www.youtube.com/watch?v=OZZu41_zXcw,Will Trump's 2025 joint address get 34-38m viewers?,0.4014080762863159,0.25,1,1,1
Supreme Court rejects Trump's request to keep billions in foreign aid frozen,https://www.youtube.com/watch?v=b-1uXgltXT8,Trump announces cutting all military aid to Ukraine aid before April?,0.4881197214126587,0.994,1,1,1
Supreme Court rejects Trump's request to keep billions in foreign aid frozen,https://www.youtube.com/watch?v=b-1uXgltXT8,Trump admin announces cutting Ukraine aid by Friday?,0.4631186127662658,0.994,1,1,1
See the reactions on CNN to President Trump's address to Congress,https://www.youtube.com/watch?v=wD15tbVNpZs,25% aluminum tariff in effect before May?,0.403285801410675,0.967,-1,-1,-1
"Zelensky describes Oval Office meeting as regrettable,' says he is ready to negotiate peace",https://www.youtube.com/watch?v=T5KEIrrUvVo,Trump announces cutting all military aid to Ukraine aid before April?,0.6913883686065674,0.63,1,1,1
"Zelensky describes Oval Office meeting as regrettable,' says he is ready to negotiate peace",https://www.youtube.com/watch?v=T5KEIrrUvVo,Trump admin announces cutting Ukraine aid by Friday?,0.6561528444290161,0.885,1,1,1
"Zelensky describes Oval Office meeting as regrettable,' says he is ready to negotiate peace",https://www.youtube.com/watch?v=T5KEIrrUvVo,Will Trump cut Ukraine off from Starlink?,0.5315308570861816,0.0725,-1,1,-1
"Zelensky describes Oval Office meeting as regrettable,' says he is ready to negotiate peace",https://www.youtube.com/watch?v=T5KEIrrUvVo,Will Trump say 'Ukraine' during the 2025 State of the Union?,0.4459220170974731,0.895,1,1,1
"Zelensky describes Oval Office meeting as regrettable,' says he is ready to negotiate peace",https://www.youtube.com/watch?v=T5KEIrrUvVo,Will Zelenskyy apologize to Trump by Friday?,0.4190977811813354,0.145,-1,-1,-1
Historically awful': Harry Enten on Trump's net approval ratings,https://www.youtube.com/watch?v=HiCHSiAUALo,Will Trump's 538 approval rating be between 46.5% and 46.9% on March 7?,0.442847728729248,0.125,1,-1,-1
Historically awful': Harry Enten on Trump's net approval ratings,https://www.youtube.com/watch?v=HiCHSiAUALo,Will Trump's 538 approval rating be between 47.5% and 47.9% on March 7?,0.4427415430545807,0.305,1,1,1
Historically awful': Harry Enten on Trump's net approval ratings,https://www.youtube.com/watch?v=HiCHSiAUALo,Will Trump's 538 approval rating be 48.5% or higher on March 7?,0.4324699640274048,0.115,-1,-1,-1
Historically awful': Harry Enten on Trump's net approval ratings,https://www.youtube.com/watch?v=HiCHSiAUALo,Will Trump's 538 approval rating be less than 46.5% on March 7?,0.4323350191116333,0.12,-1,-1,-1
Historically awful': Harry Enten on Trump's net approval ratings,https://www.youtube.com/watch?v=HiCHSiAUALo,Will Trump's 538 approval rating be between 47.0% and 47.4% on March 7?,0.4318474531173706,0.22,1,-1,-1
Historically awful': Harry Enten on Trump's net approval ratings,https://www.youtube.com/watch?v=HiCHSiAUALo,Will Trump say 'Zelenskyy' during the 2025 State of the Union?,0.4263588488101959,0.64,1,1,1
Historically awful': Harry Enten on Trump's net approval ratings,https://www.youtube.com/watch?v=HiCHSiAUALo,Will Trump's 538 approval rating be between 48.0% and 48.4% on March 7?,0.4245823621749878,0.145,-1,-1,-1
Watch Trudeau speak directly to Trump during blistering speech,https://www.youtube.com/watch?v=wz_42pckM7w,25% aluminum tariff in effect before May?,0.4857775270938873,0.958,1,0,1
Watch Trudeau speak directly to Trump during blistering speech,https://www.youtube.com/watch?v=wz_42pckM7w,25% steel tariff in effect before May?,0.4803352952003479,0.961,-1,-1,1
Watch Trudeau speak directly to Trump during blistering speech,https://www.youtube.com/watch?v=wz_42pckM7w,Will Trump say 'tariff' 5+ times times during the 2025 State of the Union?,0.4382417201995849,0.59,1,1,1
Canadian official who threatened to shut off oil to US fires back after Trump's tariffs,https://www.youtube.com/watch?v=avbaXEy7CS0,Will Trump say 'Canada' during the 2025 State of the Union?,0.4237971305847168,0.875,1,1,1
China and Canada immediately retaliate against Trump's tariffs,https://www.youtube.com/watch?v=_xWnuBKvERo,25% steel tariff in effect before May?,0.4992427229881286,0.961,-1,-1,1
China and Canada immediately retaliate against Trump's tariffs,https://www.youtube.com/watch?v=_xWnuBKvERo,Will Trump say 'tariff' 5+ times times during the 2025 State of the Union?,0.4812722504138946,0.59,1,1,1
China and Canada immediately retaliate against Trump's tariffs,https://www.youtube.com/watch?v=_xWnuBKvERo,25% aluminum tariff in effect before May?,0.4597158133983612,0.958,1,0,1
Billions of dollars that just vanish off their website': Reporter uncovers DOGE errors,https://www.youtube.com/watch?v=v8nIp40Q574,"Will Donald Trump say ""Dogecoin"" during Crypto Summit on Friday?",0.4150232970714569,0.345,-1,-1,-1
Billions of dollars that just vanish off their website': Reporter uncovers DOGE errors,https://www.youtube.com/watch?v=v8nIp40Q574,Will Trump post 100-109 times on Truth Feb 28 - March 7?,0.4055663347244262,0.19,-1,-1,-1
Trump supporter walks away from CNN interview when pressed about Musk's actions,https://www.youtube.com/watch?v=89aB6SX2y40,Will Trump say 'Elon' or 'Musk' during the 2025 State of the Union?,0.4947317838668823,0.725,1,1,1
Trump supporter walks away from CNN interview when pressed about Musk's actions,https://www.youtube.com/watch?v=89aB6SX2y40,Will Alexandria Ocasio-Cortez applaud during Trump's address to Congress?,0.4091789722442627,0.265,-1,-1,-1
Trump supporter walks away from CNN interview when pressed about Musk's actions,https://www.youtube.com/watch?v=89aB6SX2y40,Will Lisa Murkowski vote to confirm Lori Chavez-DeRemer as Secretary of Labor?,0.4052557945251465,0.981,1,1,1
Trump supporter walks away from CNN interview when pressed about Musk's actions,https://www.youtube.com/watch?v=89aB6SX2y40,Official Trump above $12.50 on March 7?,0.4018580317497253,0.42,1,1,1
Scott Jennings: Zelensky shouldn't talk to Democrat 'clowns' about dealing with Trump,https://www.youtube.com/watch?v=o9ZetIs5oIY,Will Trump cut Ukraine off from Starlink?,0.4868488311767578,0.0725,-1,1,-1
Scott Jennings: Zelensky shouldn't talk to Democrat 'clowns' about dealing with Trump,https://www.youtube.com/watch?v=o9ZetIs5oIY,Will Trump say 'Ukraine' during the 2025 State of the Union?,0.415844589471817,0.895,1,1,1
Fired veteran who voted for Trump three times talks to CNN,https://www.youtube.com/watch?v=JyGqbJ20jKE,Will Hakeem Jeffries applaud during Trump's address to Congress?,0.4830239713191986,0.805,-1,-1,-1
Fired veteran who voted for Trump three times talks to CNN,https://www.youtube.com/watch?v=JyGqbJ20jKE,Will John Fetterman applaud during Trump's address to Congress?,0.4798029661178589,0.825,-1,-1,-1
Fired veteran who voted for Trump three times talks to CNN,https://www.youtube.com/watch?v=JyGqbJ20jKE,Will Zelenskyy apologize to Trump by Friday?,0.4341740012168884,0.145,-1,-1,-1
Fired veteran who voted for Trump three times talks to CNN,https://www.youtube.com/watch?v=JyGqbJ20jKE,Will Chuck Schumer applaud during Trump's address to Congress?,0.4240779876708984,0.67,1,1,1
Harry Enten breaks down poll on how Americans view Russia,https://www.youtube.com/watch?v=mhs8us1ha2g,Trump ends all military aid to Ukraine before April?,0.4388171434402466,0.12,1,1,1
Harry Enten breaks down poll on how Americans view Russia,https://www.youtube.com/watch?v=mhs8us1ha2g,Trump cuts Ukraine aid before April?,0.4018414318561554,0.595,1,1,1
Harry Enten breaks down poll on how Americans view Russia,https://www.youtube.com/watch?v=mhs8us1ha2g,Will Trump cut Ukraine off from Starlink?,0.4003445506095886,0.0535,1,1,1
Trump: US won't 'put up' with perceived resistance from Zelensky,https://www.youtube.com/watch?v=toE95uFGY64,Trump cuts Ukraine aid before April?,0.4682806730270386,0.595,1,1,1
Trump: US won't 'put up' with perceived resistance from Zelensky,https://www.youtube.com/watch?v=toE95uFGY64,Trump ends all military aid to Ukraine before April?,0.4374003708362579,0.12,1,1,1
Trump: US won't 'put up' with perceived resistance from Zelensky,https://www.youtube.com/watch?v=toE95uFGY64,Trump negative approval before April?,0.4244980812072754,0.925,1,-1,1
Trump: US won't 'put up' with perceived resistance from Zelensky,https://www.youtube.com/watch?v=toE95uFGY64,Trump admin announces cutting Ukraine aid by Friday?,0.4206739664077759,0.22,1,1,1
Trump: US won't 'put up' with perceived resistance from Zelensky,https://www.youtube.com/watch?v=toE95uFGY64,Trump announces cutting all military aid to Ukraine aid before April?,0.4052406847476959,0.28,1,1,1
Hear Democratic senator's advice for Zelensky,https://www.youtube.com/watch?v=4UB3tgGcV0U,Will Trump cut Ukraine off from Starlink?,0.4454783201217651,0.0535,1,1,1
Hear Democratic senator's advice for Zelensky,https://www.youtube.com/watch?v=4UB3tgGcV0U,Trump ends all military aid to Ukraine before April?,0.4272365570068359,0.12,1,1,1
Hear Democratic senator's advice for Zelensky,https://www.youtube.com/watch?v=4UB3tgGcV0U,Will Trump say 'Elon' or 'Musk' during the 2025 State of the Union?,0.4219836890697479,0.625,1,1,1
Rubio is 'great disappointment': Democratic senator on why he regrets confirmation vote,https://www.youtube.com/watch?v=SByoQciTTxw,Will Trump invite the Philadelphia Eagles to the White House?,0.4415377080440521,0.8835,-1,-1,-1
Rubio is 'great disappointment': Democratic senator on why he regrets confirmation vote,https://www.youtube.com/watch?v=SByoQciTTxw,Will Trump cut Ukraine off from Starlink?,0.4403879642486572,0.0535,1,1,1
Rubio is 'great disappointment': Democratic senator on why he regrets confirmation vote,https://www.youtube.com/watch?v=SByoQciTTxw,Trump ends all military aid to Ukraine before April?,0.4399375915527344,0.12,1,1,1
Rubio is 'great disappointment': Democratic senator on why he regrets confirmation vote,https://www.youtube.com/watch?v=SByoQciTTxw,Trump cuts Ukraine aid before April?,0.4152614176273346,0.595,1,1,1
Rubio is 'great disappointment': Democratic senator on why he regrets confirmation vote,https://www.youtube.com/watch?v=SByoQciTTxw,Trump admin announces cutting Ukraine aid by Friday?,0.4133653044700622,0.22,1,1,1
Harry Enten breaks down poll showing Republican attitudes toward Russia-Ukraine war,https://www.youtube.com/watch?v=gus4wF7bBuI,Trump ends all military aid to Ukraine before April?,0.5616986155509949,0.12,1,1,1
Harry Enten breaks down poll showing Republican attitudes toward Russia-Ukraine war,https://www.youtube.com/watch?v=gus4wF7bBuI,Will Trump cut Ukraine off from Starlink?,0.5258453488349915,0.0535,1,1,1
Harry Enten breaks down poll showing Republican attitudes toward Russia-Ukraine war,https://www.youtube.com/watch?v=gus4wF7bBuI,Trump cuts Ukraine aid before April?,0.5024115443229675,0.595,1,1,1
Harry Enten breaks down poll showing Republican attitudes toward Russia-Ukraine war,https://www.youtube.com/watch?v=gus4wF7bBuI,Trump announces cutting all military aid to Ukraine aid before April?,0.4701884984970093,0.28,1,1,1
Harry Enten breaks down poll showing Republican attitudes toward Russia-Ukraine war,https://www.youtube.com/watch?v=gus4wF7bBuI,Trump admin announces cutting Ukraine aid by Friday?,0.4111473262310028,0.22,1,1,1
"SE Cupp: Trump, Vance looked like two losers on barstools in Oval Office",https://www.youtube.com/watch?v=gNbriZgmtR4,Will Zelenskyy apologize to Trump by Sunday?,0.4252428412437439,0.195,-1,-1,-1
US Army veteran: Trump's Oval Office clash was 'un-American' and 'traitorous',https://www.youtube.com/watch?v=EiiJart9wo8,Will Zelenskyy apologize to Trump by Sunday?,0.4581053853034973,0.195,-1,-1,-1
Vindman on Zelensky clash: JD Vance wasn't ready for the 'big boy table',https://www.youtube.com/watch?v=l70qUYUH7sI,Will Zelenskyy apologize to Trump by Sunday?,0.6412588357925415,0.195,-1,-1,-1
Vindman on Zelensky clash: JD Vance wasn't ready for the 'big boy table',https://www.youtube.com/watch?v=l70qUYUH7sI,Trump admin announces cutting Ukraine aid by Friday?,0.433557391166687,0.585,-1,1,1
Vindman on Zelensky clash: JD Vance wasn't ready for the 'big boy table',https://www.youtube.com/watch?v=l70qUYUH7sI,Trump cuts Ukraine aid before April?,0.4282766580581665,0.79,-1,-1,-1
Vindman on Zelensky clash: JD Vance wasn't ready for the 'big boy table',https://www.youtube.com/watch?v=l70qUYUH7sI,Trump announces cutting all military aid to Ukraine aid before April?,0.4138141274452209,0.46,-1,1,1
Rubio points finger at Zelensky for breakdown of Trump meeting,https://www.youtube.com/watch?v=d1-bnv0YWbc,Will Zelenskyy apologize to Trump by Sunday?,0.7432191371917725,0.195,-1,-1,-1
Rubio points finger at Zelensky for breakdown of Trump meeting,https://www.youtube.com/watch?v=d1-bnv0YWbc,Will Trump cut Ukraine off from Starlink?,0.4834908843040466,0.049,1,1,1
Rubio points finger at Zelensky for breakdown of Trump meeting,https://www.youtube.com/watch?v=d1-bnv0YWbc,Trump cuts Ukraine aid before April?,0.4597551226615906,0.79,-1,-1,-1
Rubio points finger at Zelensky for breakdown of Trump meeting,https://www.youtube.com/watch?v=d1-bnv0YWbc,Trump ends all military aid to Ukraine before April?,0.4447960555553436,0.37,-1,1,1
Rubio points finger at Zelensky for breakdown of Trump meeting,https://www.youtube.com/watch?v=d1-bnv0YWbc,Trump admin announces cutting Ukraine aid by Friday?,0.413654088973999,0.585,-1,1,1
Rubio points finger at Zelensky for breakdown of Trump meeting,https://www.youtube.com/watch?v=d1-bnv0YWbc,Trump announces cutting all military aid to Ukraine aid before April?,0.4102624654769897,0.46,-1,1,1
What Kaitlan Collins saw during fiery Trump-Zelensky argument,https://www.youtube.com/watch?v=OKycBP_cg8o,Will Putin meet with Trump in February?,0.4364245235919952,0.005,-1,-1,-1
"Watch tense Oval Office argument between Zelensky, Trump and Vance",https://www.youtube.com/watch?v=z2s2pogllis,Will Trump sanction Russia before March?,0.5359353423118591,0.0105,-1,-1,-1
"Watch tense Oval Office argument between Zelensky, Trump and Vance",https://www.youtube.com/watch?v=z2s2pogllis,Will Trump cut Ukraine off from Starlink?,0.4958952963352203,0.0315,1,1,1
"Watch tense Oval Office argument between Zelensky, Trump and Vance",https://www.youtube.com/watch?v=z2s2pogllis,"Will Donald Trump say ""Ukraine"" 10+ times during his presser with Zelenskyy on Feb 28?",0.4836646318435669,0.5,-1,-1,-1
"Watch tense Oval Office argument between Zelensky, Trump and Vance",https://www.youtube.com/watch?v=z2s2pogllis,Will Putin meet with Trump in February?,0.4634920060634613,0.005,-1,-1,-1
King Charles sends a letter to President Trump,https://www.youtube.com/watch?v=oXIi896XSIM,Will Trump meet with Keir Starmer in 2025?,0.6142733097076416,0.9975,1,1,1
King Charles sends a letter to President Trump,https://www.youtube.com/watch?v=oXIi896XSIM,Will Trump meet with Keir Starmer in his first 100 days?,0.5957773923873901,0.9945,1,1,1
King Charles sends a letter to President Trump,https://www.youtube.com/watch?v=oXIi896XSIM,Will Donald Trump say UK or United Kingdom 15+ times during his presser with Starmer on Feb 27?,0.581525444984436,0.125,-1,-1,-1
